iata,name,country,region,latitude,longitude,facility_type,init_capacity,security_level,in_charge
IKB,Wilkes County Airport,US,US-NC,36.2228012085,-81.09829711910001,small_airport,0,10,False
UKI,Ukiah Municipal Airport,US,US-CA,39.125999450684,-123.20099639893,medium_airport,0,20,True
UKT,Quakertown Airport,US,US-PA,40.435199737549,-75.381896972656,small_airport,0,10,False
ULM,New Ulm Municipal Airport,US,US-MN,44.319599151611,-94.502296447754,small_airport,0,10,False
ATO,Ohio University Snyder Field,US,US-OH,39.2109985352,-82.23139953610001,small_airport,0,10,False
UNU,Dodge County Airport,US,US-WI,43.42660141,-88.70320129,small_airport,0,10,False
SCE,University Park Airport,US,US-PA,40.8493003845,-77.84870147710001,medium_airport,308,20,False
UOS,Franklin County Airport,US,US-TN,35.205101013184,-85.898101806641,small_airport,0,10,True
UOX,University Oxford Airport,US,US-MS,34.384300231934,-89.536796569824,medium_airport,0,20,True
UTM,Tunica Municipal Airport,US,US-MS,34.680999755859,-90.346702575684,small_airport,0,10,True
HTV,Huntsville Regional Airport,US,US-TX,30.7469005585,-95.5871963501,medium_airport,0,20,True
NPT,Newport State Airport,US,US-RI,41.5323982239,-71.28150177,small_airport,0,10,False
UVA,Garner Field,US,US-TX,29.2112998962,-99.743598938,small_airport,0,10,True
RKH,Rock Hill - York County Airport,US,US-SC,34.9878006,-81.05719757,small_airport,0,10,False
VAD,Moody Air Force Base,US,US-GA,30.9678001404,-83.1930007935,medium_airport,0,20,False
LLY,South Jersey Regional Airport,US,US-NJ,39.942901611299995,-74.845703125,small_airport,0,10,False
VBG,Vandenberg Air Force Base,US,US-CA,34.7373008728,-120.583999634,large_airport,0,30,True
VCT,Victoria Regional Airport,US,US-TX,28.85260009765625,-96.91850280761719,medium_airport,0,20,True
VCV,Southern California Logistics Airport,US,US-CA,34.597499847399995,-117.383003235,small_airport,0,10,True
VDI,Vidalia Regional Airport,US,US-GA,32.192699432373,-82.371200561523,small_airport,0,10,False
VEL,Vernal Regional Airport,US,US-UT,40.4408989,-109.5100021,medium_airport,102,20,False
VGT,North Las Vegas Airport,US,US-NV,36.21070098877,-115.19400024414,medium_airport,0,20,True
VHN,Culberson County Airport,US,US-TX,31.057800292969,-104.78399658203,small_airport,0,10,True
VIH,Rolla National Airport,US,US-MO,38.1273994446,-91.7695007324,small_airport,0,10,True
VIS,Visalia Municipal Airport,US,US-CA,36.3186988831,-119.392997742,small_airport,0,10,True
VJI,Virginia Highlands Airport,US,US-VA,36.687099456787,-82.033302307129,small_airport,0,10,False
VKS,Vicksburg Municipal Airport,US,US-MS,32.23929977417,-90.928398132324,small_airport,0,10,True
VLA,Vandalia Municipal Airport,US,US-IL,38.991500854492,-89.166198730469,small_airport,0,10,True
VLD,Valdosta Regional Airport,US,US-GA,30.782499313354492,-83.27670288085938,medium_airport,170,20,False
VNC,Venice Municipal Airport,US,US-FL,27.071599960327,-82.440299987793,small_airport,0,10,False
VNY,Van Nuys Airport,US,US-CA,34.209800720215,-118.48999786377,medium_airport,0,20,True
VOK,Volk Field,US,US-WI,43.938999176025,-90.253402709961,medium_airport,0,20,False
VPS,Destin-Ft Walton Beach Airport,US,US-FL,30.4832,-86.525398,large_airport,1431,30,True
VPZ,Porter County Municipal Airport,US,US-IN,41.45399857,-87.00710297,medium_airport,0,20,False
VQQ,Cecil Airport,US,US-FL,30.2187004089,-81.876701355,small_airport,0,10,False
VRB,Vero Beach Regional Airport,US,US-FL,27.6556,-80.417901,medium_airport,0,20,False
VSF,Hartness State (Springfield) Airport,US,US-VT,43.34360123,-72.51730347,small_airport,0,10,False
VTN,Miller Field,US,US-NE,42.85779953,-100.5479965,medium_airport,0,20,False
VYS,Illinois Valley Regional Airport-Walter A Duncan Field,US,US-IL,41.351898,-89.153099,small_airport,0,10,False
GTY,Gettysburg Regional Airport,US,US-PA,39.84090042,-77.27420044,small_airport,0,10,False
SQV,Sequim Valley Airport,US,US-WA,48.098098754883,-123.18699645996,small_airport,0,10,False
PGC,Grant County Airport,US,US-WV,38.9948997498,-79.1458969116,small_airport,0,10,False
WAL,Wallops Flight Facility Airport,US,US-VA,37.9402008057,-75.4664001465,small_airport,0,10,False
WAY,Greene County Airport,US,US-PA,39.90010071,-80.13310242,small_airport,0,10,False
WBW,Wilkes Barre Wyoming Valley Airport,US,US-PA,41.2971992493,-75.8511962891,small_airport,0,10,False
WDG,Enid Woodring Regional Airport,US,US-OK,36.3791999817,-97.7910995483,small_airport,0,10,True
WDR,Barrow County Airport,US,US-GA,33.98289871,-83.66739655,small_airport,0,10,False
WHP,Whiteman Airport,US,US-CA,34.2593002319,-118.413002014,small_airport,0,10,True
WJF,General WM J Fox Airfield,US,US-CA,34.74110031,-118.2190018,medium_airport,0,20,True
WLD,Strother Field,US,US-KS,37.168598175,-97.0375976562,small_airport,0,10,True
WLW,Willows Glenn County Airport,US,US-CA,39.51639938,-122.2180023,small_airport,0,10,True
WMC,Winnemucca Municipal Airport,US,US-NV,40.8965988159,-117.805999756,medium_airport,0,20,False
WRB,Robins Air Force Base,US,US-GA,32.6400985718,-83.5919036865,large_airport,0,30,False
WRI,Mc Guire Air Force Base,US,US-NJ,40.0155983,-74.59169769,medium_airport,0,20,False
WRL,Worland Municipal Airport,US,US-WY,43.9656982421875,-107.95099639892578,medium_airport,0,20,False
WSD,Condron Army Air Field,US,US-NM,32.34149933,-106.4029999,small_airport,0,10,True
WST,Westerly State Airport,US,US-RI,41.3496017456,-71.8033981323,small_airport,0,10,False
WVI,Watsonville Municipal Airport,US,US-CA,36.9356994629,-121.790000916,small_airport,0,10,True
WVL,Waterville Robert Lafleur Airport,US,US-ME,44.5331993103,-69.6754989624,small_airport,0,10,False
WWD,Cape May County Airport,US,US-NJ,39.008499145500004,-74.9083023071,medium_airport,0,20,False
WWR,West Woodward Airport,US,US-OK,36.438,-99.5226667,medium_airport,0,20,True
WYS,Yellowstone Airport,US,US-MT,44.68840027,-111.1179962,medium_airport,92,20,False
KYO,Tampa North Aero Park Airport,US,US-FL,28.2213001251,-82.37449646,small_airport,0,10,False
XNA,Northwest Arkansas Regional Airport,US,US-AR,36.281898,-94.306801,medium_airport,2547,20,True
YIP,Willow Run Airport,US,US-MI,42.23789978,-83.53040314,medium_airport,0,20,False
YKM,Yakima Air Terminal McAllister Field,US,US-WA,46.56819916,-120.5439987,medium_airport,0,20,False
YKN,Chan Gurney Municipal Airport,US,US-SD,42.916698455811,-97.385902404785,medium_airport,0,20,False
YNG,Youngstown Warren Regional Airport,US,US-OH,41.26070023,-80.67910004,medium_airport,0,20,False
ZPH,Zephyrhills Municipal Airport,US,US-FL,28.2282009125,-82.15589904790001,small_airport,0,10,False
ZZV,Zanesville Municipal Airport,US,US-OH,39.9444007874,-81.89209747310001,medium_airport,0,20,False
DRU,Drummond Airport,US,US-MT,46.6208,-113.205002,small_airport,0,10,False
UWA,Ware Airport,US,US-MA,42.282001495361,-72.214797973633,small_airport,0,10,False
MDR,Medfra Airport,US,US-AK,63.1060198183,-154.719429016,small_airport,0,10,False
LIZ,Loring International Airport,US,US-ME,46.950401,-67.885902,small_airport,0,10,False
MHN,Hooker County Airport,US,US-NE,42.042155,-101.059113,small_airport,0,10,False
MTX,Metro Field,US,US-AK,64.80680084229999,-147.761993408,small_airport,0,10,False
MXC,Monticello Airport,US,US-UT,37.93243,-109.341225,small_airport,0,10,True
MYK,May Creek Airport,US,US-AK,61.3357009888,-142.68699646,small_airport,0,10,False
EPG,Browns Airport,US,US-NE,40.8675003052,-96.1100006104,small_airport,0,10,False
HBB,Industrial Airpark,US,US-NM,32.7668,-103.209,small_airport,0,10,True
UCC,Yucca Airstrip,US,US-NV,36.94580078125,-116.03800201416,small_airport,0,10,True
NLN,Kneeland Airport,US,US-CA,40.719299316406,-123.92800140381,small_airport,0,10,False
BZF,Benton Field,US,US-CA,40.5749015808,-122.407997131,small_airport,0,10,False
AKB,Atka Airport,US,US-AK,52.22029877,-174.2059937,small_airport,0,10,False
